,Item_Identifier,Item_Weight,Item_Fat_Content,Item_Visibility,Item_Type,Item_MRP,Outlet_Identifier,Outlet_Establishment_Year,Outlet_Size,Outlet_Location_Type,Outlet_Type,Item_Outlet_Sales,Profit
1873,FDH44,19.1,Regular,0.043304681,Fruits and Vegetables,147.5,OUT010,1998,,,Grocery Store,294.2836,14.4
1874,NCY54,8.43,Low Fat,0.177971115,Household,174.0,OUT049,1999,Medium,Tier 2,Supermarket Type1,2069.3064,14.8
1875,FDR59,14.5,Regular,0.106894492,Breads,260.5,OUT010,1998,,,Grocery Store,1046.6376,11.1
1876,DRA59,8.27,Regular,0.127927931,Soft Drinks,184.9,OUT046,1997,Small,Tier1,Supermarket Type1,4442.2176,14.0
1877,FDS55,7.02,Low Fat,0.081623275,Fruits and Vegetables,148.1,OUT017,2007,,,Supermarket Type1,1930.1542,12.3
1878,FDZ28,20.0,Regular,0.051596927,Frozen Foods,128.1,OUT045,2002,,,Supermarket Type1,1780.3492,14.7
1879,DRG49,7.81,Low Fat,0.067592098,Soft Drinks,246.0,OUT045,2002,,,Supermarket Type1,7086.1094,12.1
1880,FDH21,,Low Fat,0.054670967,Seafood,158.7,OUT019,1985,Small,Tier1,Grocery Store,316.9208,13.7
1881,NCN19,13.1,Low Fat,0.012089479,Others,189.9,OUT013,1987,High,Tier 3,Supermarket Type1,3415.554,14.6
1882,FDP25,15.2,Low Fat,0.021250528,Canned,216.6,OUT045,2002,,,Supermarket Type1,5241.1776,13.9
1883,DRH59,10.8,Low Fat,0.05843345,Hard Drinks,74.7,OUT046,1997,Small,Tier1,Supermarket Type1,1025.332,13.7
1884,FDH09,12.6,Low Fat,0.05606697,Seafood,50.8,OUT035,2004,Small,Tier1,Supermarket Type1,473.3838,14.3
1885,NCK54,12.15,Low Fat,0.029569276,Household,115.0,OUT049,1999,Medium,Tier 2,Supermarket Type1,2912.875,14.8
1886,FDT21,7.42,Low Fat,0.0204332,Snack Foods,248.9,OUT045,2002,,,Supermarket Type1,5976.2208,14.5
1887,FDR12,,Regular,0.055213281,Baking Goods,172.5,OUT019,1985,Small,Tier1,Grocery Store,687.1056,14.4
1888,FDS25,6.885,Regular,0.1408005,Canned,111.4,OUT017,2007,,,Supermarket Type1,2984.1156,13.4
1889,NCL05,,Low Fat,0.047665717,Health and Hygiene,42.2,OUT027,1985,Medium,Tier 2,Supermarket Type3,1255.033,13.2
1890,NCI30,20.25,Low Fat,0.059268885,Household,246.4,OUT017,2007,,,Supermarket Type1,3695.19,13.8
1891,FDJ26,15.3,Regular,0.084937098,Canned,214.0,OUT045,2002,,,Supermarket Type1,1068.609,12.6
1892,FDA56,9.21,Low Fat,0.008778413,Fruits and Vegetables,122.4,OUT049,1999,Medium,Tier 2,Supermarket Type1,1583.9382,14.4
1893,FDM33,15.6,Low Fat,0.0,Snack Foods,220.5,OUT018,2009,Medium,Tier 2,Supermarket Type2,661.1394,5.8
1894,FDP04,15.35,Low Fat,0.013834247,Frozen Foods,62.7,OUT049,1999,Medium,Tier 2,Supermarket Type1,958.752,14.0
1895,FDR55,12.15,Regular,0.132351411,Fruits and Vegetables,190.4,OUT045,2002,,,Supermarket Type1,2836.308,14.6
1896,NCZ54,,Low Fat,0.082955719,Household,164.1,OUT027,1985,Medium,Tier 2,Supermarket Type3,5523.4768,14.5
1897,NCA53,11.395,low fat,0.009893817,Health and Hygiene,50.3,OUT049,1999,Medium,Tier 2,Supermarket Type1,972.068,14.5
1898,FDL20,17.1,Low Fat,0.0,Fruits and Vegetables,112.0,OUT046,1997,Small,Tier1,Supermarket Type1,3002.0922,13.3
1899,FDT26,18.85,Regular,0.067940657,Dairy,119.0,OUT035,2004,Small,Tier1,Supermarket Type1,1198.44,8.7
1900,NCZ06,19.6,Low Fat,0.094161662,Household,252.0,OUT046,1997,Small,Tier1,Supermarket Type1,4566.0564,1.9
1901,FDA04,11.3,Regular,0.067107448,Frozen Foods,258.2,OUT017,2007,,,Supermarket Type1,4402.9354,14.3
1902,FDD29,,Low Fat,0.018321361,Frozen Foods,255.4,OUT027,1985,Medium,Tier 2,Supermarket Type3,4819.7262,9.3
1903,FDS56,5.785,Regular,0.038756864,Fruits and Vegetables,260.7,OUT046,1997,Small,Tier1,Supermarket Type1,6033.4796,13.5
1904,FDT07,5.82,Regular,0.077254736,Fruits and Vegetables,257.6,OUT013,1987,High,Tier 3,Supermarket Type1,1537.998,14.9
1905,FDT58,9.0,Low Fat,0.08630486,Snack Foods,168.1,OUT018,2009,Medium,Tier 2,Supermarket Type2,2181.1608,13.9
1906,FDJ10,,Regular,0.128876537,Snack Foods,139.2,OUT027,1985,Medium,Tier 2,Supermarket Type3,4916.933,13.6
1907,FDN25,7.895,Regular,0.061163967,Breakfast,59.3,OUT035,2004,Small,Tier1,Supermarket Type1,801.6232,13.0
1908,DRC27,13.8,Low Fat,0.058220302,Dairy,247.5,OUT045,2002,,,Supermarket Type1,1474.0812,14.2
1909,FDA38,5.44,Low Fat,0.025519534,Dairy,238.8,OUT049,1999,Medium,Tier 2,Supermarket Type1,3605.307,14.8
1910,FDM56,16.7,Low Fat,0.070133177,Fruits and Vegetables,109.9,OUT013,1987,High,Tier 3,Supermarket Type1,873.5296,14.6
1911,NCI43,19.85,Low Fat,0.025947095,Household,46.9,OUT013,1987,High,Tier 3,Supermarket Type1,575.2512,14.6
1912,FDP36,10.395,Regular,0.091688111,Baking Goods,49.0,OUT017,2007,,,Supermarket Type1,860.2136,10.4
1913,DRK49,,LF,0.0,Soft Drinks,40.5,OUT019,1985,Small,Tier1,Grocery Store,40.6138,13.3
1914,FDW32,,Regular,0.165101585,Fruits and Vegetables,87.8,OUT019,1985,Small,Tier1,Grocery Store,515.3292,12.7
1915,NCW18,15.1,Low Fat,0.059417055,Household,237.9,OUT049,1999,Medium,Tier 2,Supermarket Type1,2133.2232,14.5
1916,FDQ44,20.5,Low Fat,0.036287517,Fruits and Vegetables,121.3,OUT018,2009,Medium,Tier 2,Supermarket Type2,2181.1608,7.7
1917,FDL45,15.6,Low Fat,0.037764269,Snack Foods,125.0,OUT045,2002,,,Supermarket Type1,2253.0672,13.0
1918,DRB48,16.75,Regular,0.024848788,Soft Drinks,40.0,OUT035,2004,Small,Tier1,Supermarket Type1,746.3618,14.5
1919,FDQ34,10.85,Low Fat,0.162903525,Snack Foods,105.0,OUT018,2009,Medium,Tier 2,Supermarket Type2,1482.0708,14.3
1920,FDH17,16.2,Regular,0.016747538,Frozen Foods,98.7,OUT017,2007,,,Supermarket Type1,1272.3438,13.2
1921,FDN08,7.72,Regular,0.147904328,Fruits and Vegetables,116.6,OUT010,1998,,,Grocery Store,117.8466,14.4
1922,FDK57,,Low Fat,0.079904068,Snack Foods,120.0,OUT027,1985,Medium,Tier 2,Supermarket Type3,4434.228,14.5
1923,FDK10,5.785,Regular,0.040325274,Snack Foods,180.5,OUT013,1987,High,Tier 3,Supermarket Type1,719.064,14.3
1924,FDL39,,Regular,0.06302467,Dairy,181.6,OUT027,1985,Medium,Tier 2,Supermarket Type3,1263.0226,14.3
1925,FDP25,15.2,Low Fat,0.021203509,Canned,216.4,OUT035,2004,Small,Tier1,Supermarket Type1,6114.7072,13.4
1926,FDC05,13.1,Regular,0.098765906,Frozen Foods,196.4,OUT035,2004,Small,Tier1,Supermarket Type1,2167.8448,12.8
1927,FDA39,6.32,Low Fat,0.012707362,Meat,41.1,OUT013,1987,High,Tier 3,Supermarket Type1,942.7728,14.4
1928,FDZ10,17.85,Low Fat,0.04442649,Snack Foods,124.9,OUT013,1987,High,Tier 3,Supermarket Type1,1897.53,10.3
1929,FDK08,,Regular,0.121712459,Fruits and Vegetables,101.2,OUT027,1985,Medium,Tier 2,Supermarket Type3,2631.2416,14.6
1930,DRD24,13.85,Low Fat,0.030769458,Soft Drinks,141.7,OUT013,1987,High,Tier 3,Supermarket Type1,2978.1234,14.7
1931,DRG48,5.78,Low Fat,0.014614357,Soft Drinks,147.3,OUT018,2009,Medium,Tier 2,Supermarket Type2,2332.9632,11.3
1932,FDH52,,Regular,0.076868664,Frozen Foods,62.1,OUT019,1985,Small,Tier1,Grocery Store,123.8388,14.8
1933,FDS25,6.885,Regular,0.140292495,Canned,108.5,OUT045,2002,,,Supermarket Type1,1989.4104,14.2
1934,NCH43,8.42,Low Fat,0.070555571,Household,216.0,OUT035,2004,Small,Tier1,Supermarket Type1,2372.9112,13.3
1935,DRK01,7.63,Low Fat,0.061409711,Soft Drinks,94.6,OUT017,2007,,,Supermarket Type1,1607.2412,12.7
1936,FDD59,10.5,Regular,0.066555152,Starchy Foods,80.9,OUT017,2007,,,Supermarket Type1,958.752,14.4
1937,FDB27,7.575,Low Fat,0.092711708,Dairy,197.8,OUT010,1998,,,Grocery Store,197.0768,13.2
1938,FDO22,13.5,Regular,0.017844609,Snack Foods,81.4,OUT013,1987,High,Tier 3,Supermarket Type1,1198.44,13.7
1939,FDD35,12.15,Low Fat,0.025916883,Starchy Foods,120.2,OUT045,2002,,,Supermarket Type1,2277.036,14.5
1940,FDR01,5.405,Regular,0.053611144,Canned,197.8,OUT035,2004,Small,Tier1,Supermarket Type1,796.2968,11.9
1941,NCB31,,Low Fat,0.207783483,Household,262.3,OUT019,1985,Small,Tier1,Grocery Store,525.982,14.2
1942,FDC35,7.435,Low Fat,0.122837694,Starchy Foods,208.8,OUT046,1997,Small,Tier1,Supermarket Type1,3105.957,14.4
1943,FDS23,4.635,Low Fat,0.141174838,Breads,127.1,OUT045,2002,,,Supermarket Type1,2826.9868,10.8
1944,FDC33,8.96,Regular,0.069078149,Fruits and Vegetables,197.8,OUT045,2002,,,Supermarket Type1,3153.2288,14.3
1945,NCF18,18.35,LF,0.089345074,Household,192.0,OUT018,2009,Medium,Tier 2,Supermarket Type2,5369.0112,14.5
1946,FDM36,11.65,Regular,0.058822142,Baking Goods,173.5,OUT049,1999,Medium,Tier 2,Supermarket Type1,3448.844,13.5
1947,FDJ53,10.5,Low Fat,0.071368699,Frozen Foods,121.3,OUT049,1999,Medium,Tier 2,Supermarket Type1,1446.1176,14.6
1948,NCL17,7.39,Low Fat,0.068055818,Health and Hygiene,140.8,OUT018,2009,Medium,Tier 2,Supermarket Type2,1567.2932,13.6
1949,FDW27,0.0,Regular,0.150122794,Meat,154.5,OUT027,1985,Medium,Tier 2,Supermarket Type3,1396.1826,14.0
1950,FDA32,14.0,Low Fat,0.030094192,Fruits and Vegetables,215.7,OUT046,1997,Small,Tier1,Supermarket Type1,1078.596,13.7
1951,FDA03,18.5,Regular,0.076097035,Dairy,145.8,OUT010,1998,,,Grocery Store,291.6204,13.5
1952,FDW09,13.65,Regular,0.025973384,Snack Foods,79.6,OUT045,2002,,,Supermarket Type1,554.6114,14.2
1953,FDN09,14.15,LF,0.0,Snack Foods,244.2,OUT045,2002,,,Supermarket Type1,731.0484,11.5
1954,FDM08,10.1,Regular,0.053887301,Fruits and Vegetables,225.6,OUT017,2007,,,Supermarket Type1,4250.4672,14.5
1955,FDX01,10.1,LF,0.024262772,Canned,117.6,OUT018,2009,Medium,Tier 2,Supermarket Type2,1514.695,13.6
1956,DRO35,13.85,Low Fat,0.034624104,Hard Drinks,115.0,OUT049,1999,Medium,Tier 2,Supermarket Type1,4054.722,4.5
1957,FDS31,13.1,Regular,0.044281996,Fruits and Vegetables,178.5,OUT045,2002,,,Supermarket Type1,3067.3406,13.9
1958,NCM53,18.75,Low Fat,0.052121825,Health and Hygiene,104.8,OUT049,1999,Medium,Tier 2,Supermarket Type1,2343.616,14.2
1959,FDI16,14.0,Regular,0.135662712,Frozen Foods,52.1,OUT013,1987,High,Tier 3,Supermarket Type1,852.224,14.6
1960,DRF36,16.1,Low Fat,0.023613955,Soft Drinks,192.9,OUT049,1999,Medium,Tier 2,Supermarket Type1,5350.3688,12.8
1961,FDW49,0.0,Low Fat,0.082152451,Canned,179.9,OUT027,1985,Medium,Tier 2,Supermarket Type3,4119.3046,12.7
1962,FDB58,0.0,Regular,0.02363057,Snack Foods,141.7,OUT019,1985,Small,Tier1,Grocery Store,425.4462,14.4
1963,NCJ18,12.35,Low Fat,0.164274416,Household,119.8,OUT045,2002,,,Supermarket Type1,2133.2232,14.3
1964,FDL51,20.7,Regular,0.047587685,Dairy,215.1,OUT045,2002,,,Supermarket Type1,5145.3024,11.3
1965,FDS03,7.825,Low Fat,0.079952983,Meat,62.8,OUT018,2009,Medium,Tier 2,Supermarket Type2,1162.4868,14.6
1966,NCO54,0.0,low fat,0.024992442,Household,53.7,OUT019,1985,Small,Tier1,Grocery Store,165.7842,14.7
1967,FDA48,12.1,Low Fat,0.115107028,Baking Goods,222.0,OUT045,2002,,,Supermarket Type1,3547.3824,14.8
1968,NCK06,0.0,Low Fat,0.008604657,Household,123.2,OUT027,1985,Medium,Tier 2,Supermarket Type3,1211.756,13.2
1969,NCZ54,14.65,Low Fat,0.083528446,Household,162.5,OUT045,2002,,,Supermarket Type1,2274.3728,13.7
1970,FDW39,0.0,Regular,0.036731658,Meat,177.2,OUT027,1985,Medium,Tier 2,Supermarket Type3,4763.799,13.6
1971,FDI09,20.75,Regular,0.129337594,Seafood,238.2,OUT046,1997,Small,Tier1,Supermarket Type1,5033.448,13.8
1972,NCO02,11.15,Low Fat,0.0,Others,65.0,OUT049,1999,Medium,Tier 2,Supermarket Type1,1120.5414,11.8
1973,DRF13,12.1,Low Fat,0.029827665,Soft Drinks,144.3,OUT049,1999,Medium,Tier 2,Supermarket Type1,2612.5992,14.8
1974,FDK25,11.6,Regular,0.157718931,Breakfast,168.3,OUT017,2007,,,Supermarket Type1,4548.0798,0.8
1975,FDZ38,17.6,Low Fat,0.008046275,Dairy,173.7,OUT017,2007,,,Supermarket Type1,5863.0348,13.4
1976,NCQ42,0.0,Low Fat,0.068753558,Household,128.0,OUT019,1985,Small,Tier1,Grocery Store,254.3356,14.2
1977,FDM14,0.0,Low Fat,0.013199737,Canned,108.9,OUT027,1985,Medium,Tier 2,Supermarket Type3,2713.135,14.6
1978,FDC20,10.65,LF,0.023971463,Fruits and Vegetables,54.0,OUT046,1997,Small,Tier1,Supermarket Type1,447.4176,14.4
1979,FDW32,18.35,Regular,0.09468096,Fruits and Vegetables,86.3,OUT018,2009,Medium,Tier 2,Supermarket Type2,1631.8758,14.7
1980,FDQ19,7.35,Regular,0.014394261,Fruits and Vegetables,241.4,OUT045,2002,,,Supermarket Type1,5331.7264,12.7
1981,FDE08,18.2,Low Fat,0.049396364,Fruits and Vegetables,146.5,OUT049,1999,Medium,Tier 2,Supermarket Type1,3563.3616,13.8
1982,FDC29,8.39,Regular,0.024243294,Frozen Foods,116.0,OUT049,1999,Medium,Tier 2,Supermarket Type1,1603.2464,13.3
1983,FDV50,14.3,Low Fat,0.122469209,Dairy,122.0,OUT013,1987,High,Tier 3,Supermarket Type1,2709.806,11.0
1984,FDF11,10.195,Regular,0.017730951,Starchy Foods,239.9,OUT017,2007,,,Supermarket Type1,4086.0146,8.2
1985,FDN09,14.15,LF,0.035016754,Snack Foods,245.4,OUT018,2009,Medium,Tier 2,Supermarket Type2,1705.7796,14.6
1986,DRG37,16.2,Low Fat,0.019417732,Soft Drinks,153.8,OUT045,2002,,,Supermarket Type1,1402.1748,13.8
1987,NCV06,0.0,Low Fat,0.066358426,Household,195.2,OUT027,1985,Medium,Tier 2,Supermarket Type3,7168.6686,13.9
1988,DRJ13,12.65,Low Fat,0.105265475,Soft Drinks,160.0,OUT010,1998,,,Grocery Store,962.7468,14.3
1989,DRF25,0.0,Low Fat,0.038736754,Soft Drinks,37.3,OUT027,1985,Medium,Tier 2,Supermarket Type3,1281.665,6.5
1990,FDE53,10.895,Low Fat,0.044991876,Frozen Foods,107.2,OUT010,1998,,,Grocery Store,426.112,13.1
1991,FDS08,5.735,Low Fat,0.05696122,Fruits and Vegetables,176.3,OUT046,1997,Small,Tier1,Supermarket Type1,1764.37,12.9
1992,FDO23,17.85,Low Fat,0.147255604,Breads,93.7,OUT017,2007,,,Supermarket Type1,1701.7848,13.2
1993,FDT07,5.82,Regular,0.077319079,Fruits and Vegetables,255.4,OUT046,1997,Small,Tier1,Supermarket Type1,4357.661,13.9
1994,NCX29,10.0,Low Fat,0.089135671,Health and Hygiene,146.9,OUT035,2004,Small,Tier1,Supermarket Type1,3207.8244,13.6
1995,FDG22,17.6,Regular,0.041373331,Snack Foods,38.1,OUT035,2004,Small,Tier1,Supermarket Type1,732.38,13.1
1996,DRJ47,0.0,Low Fat,0.04403602,Hard Drinks,173.3,OUT027,1985,Medium,Tier 2,Supermarket Type3,6751.212,11.7
1997,FDL43,10.1,Low Fat,0.027041859,Meat,77.6,OUT013,1987,High,Tier 3,Supermarket Type1,306.268,14.2
1998,FDZ43,0.0,Regular,0.056782237,Fruits and Vegetables,241.3,OUT027,1985,Medium,Tier 2,Supermarket Type3,8239.9408,10.8
1999,FDZ21,17.6,Regular,0.03922186,Snack Foods,97.2,OUT046,1997,Small,Tier1,Supermarket Type1,193.082,14.1
2000,FDJ50,8.645,Low Fat,0.021581922,Canned,53.4,OUT035,2004,Small,Tier1,Supermarket Type1,1209.7586,2.1
2001,FDV35,19.5,Low Fat,0.128206001,Breads,155.9,OUT046,1997,Small,Tier1,Supermarket Type1,3878.285,14.0
2002,FDW56,7.68,Low Fat,0.071301323,Fruits and Vegetables,190.8,OUT017,2007,,,Supermarket Type1,2693.8268,14.8
2003,DRL35,15.7,Low Fat,0.030765898,Hard Drinks,43.3,OUT045,2002,,,Supermarket Type1,649.155,12.4
2004,FDR01,5.405,Regular,0.053730029,Canned,199.1,OUT045,2002,,,Supermarket Type1,4777.7808,14.2
2005,FDS24,20.85,Regular,0.062350672,Baking Goods,87.0,OUT045,2002,,,Supermarket Type1,1416.8224,13.1
2006,NCL17,7.39,Low Fat,0.068163102,Health and Hygiene,140.5,OUT017,2007,,,Supermarket Type1,2422.1804,14.1
2007,FDS13,6.465,Low Fat,0.0,Canned,263.2,OUT018,2009,Medium,Tier 2,Supermarket Type2,2914.8724,14.0
2008,FDB59,18.25,Low Fat,0.015309885,Snack Foods,197.6,OUT045,2002,,,Supermarket Type1,2380.9008,14.8
2009,FDW26,0.0,Regular,0.106538757,Dairy,222.4,OUT027,1985,Medium,Tier 2,Supermarket Type3,1556.6404,12.6
2010,FDQ12,0.0,Low Fat,0.061999648,Baking Goods,230.0,OUT019,1985,Small,Tier1,Grocery Store,689.103,14.5
2011,FDX59,10.195,Low Fat,0.051618281,Breads,32.0,OUT013,1987,High,Tier 3,Supermarket Type1,373.5138,14.3
2012,FDL36,15.1,Low Fat,0.076505799,Baking Goods,91.6,OUT017,2007,,,Supermarket Type1,539.298,12.4
2013,FDQ55,13.65,Regular,0.013091186,Fruits and Vegetables,114.9,OUT018,2009,Medium,Tier 2,Supermarket Type2,1612.5676,13.8
2014,FDV46,0.0,Low Fat,0.022074764,Snack Foods,141.4,OUT019,1985,Small,Tier1,Grocery Store,559.272,14.4
2015,FDM28,0.0,Low Fat,0.079146113,Frozen Foods,181.5,OUT019,1985,Small,Tier1,Grocery Store,179.766,10.3
2016,FDT40,5.985,Low Fat,0.096337184,Frozen Foods,125.3,OUT017,2007,,,Supermarket Type1,763.0068,13.2
2017,DRJ11,9.5,Low Fat,0.142425145,Hard Drinks,190.0,OUT010,1998,,,Grocery Store,756.3488,14.5
2018,FDD51,11.15,Low Fat,0.0,Dairy,44.8,OUT045,2002,,,Supermarket Type1,181.0976,13.8
2019,NCT17,0.0,Low Fat,0.041663111,Health and Hygiene,188.6,OUT027,1985,Medium,Tier 2,Supermarket Type3,6029.4848,7.6
2020,NCW17,18.0,Low Fat,0.019386234,Health and Hygiene,126.9,OUT046,1997,Small,Tier1,Supermarket Type1,3083.9856,14.2
2021,NCY29,0.0,Low Fat,0.135226962,Health and Hygiene,56.3,OUT019,1985,Small,Tier1,Grocery Store,113.186,14.0
2022,DRH36,16.2,Low Fat,0.0,Soft Drinks,73.5,OUT013,1987,High,Tier 3,Supermarket Type1,2087.9488,12.0
2023,FDB17,13.15,Low Fat,0.036729122,Frozen Foods,179.8,OUT049,1999,Medium,Tier 2,Supermarket Type1,2535.3664,13.5
2024,NCA17,20.6,LF,0.045380404,Health and Hygiene,148.4,OUT013,1987,High,Tier 3,Supermarket Type1,1789.6704,14.1
2025,FDT27,11.395,Regular,0.069587171,Meat,234.7,OUT046,1997,Small,Tier1,Supermarket Type1,4687.232,13.7
2026,FDR32,6.78,Regular,0.08573655,Fruits and Vegetables,229.6,OUT013,1987,High,Tier 3,Supermarket Type1,3425.541,14.4
2027,FDG41,8.84,Regular,0.076681143,Frozen Foods,110.7,OUT049,1999,Medium,Tier 2,Supermarket Type1,1657.842,13.9
2028,FDX25,16.7,LF,0.102055777,Canned,184.0,OUT046,1997,Small,Tier1,Supermarket Type1,3101.2964,14.4
2029,FDG56,13.3,Regular,0.071856726,Fruits and Vegetables,63.3,OUT017,2007,,,Supermarket Type1,1347.5792,13.7
2030,FDN16,12.6,Regular,0.063054947,Frozen Foods,102.4,OUT017,2007,,,Supermarket Type1,2270.378,14.3
2031,FDD47,7.6,Regular,0.142383847,Starchy Foods,172.3,OUT035,2004,Small,Tier1,Supermarket Type1,2556.672,13.6
2032,FDR12,12.6,Regular,0.03150851,Baking Goods,170.6,OUT013,1987,High,Tier 3,Supermarket Type1,3779.0808,13.3
2033,FDS33,6.67,Regular,0.123620492,Snack Foods,90.1,OUT049,1999,Medium,Tier 2,Supermarket Type1,1505.3738,11.0
2034,NCC55,10.695,Low Fat,0.06375108,Household,36.8,OUT035,2004,Small,Tier1,Supermarket Type1,782.9808,14.6
2035,FDA38,0.0,Low Fat,0.04461205,Dairy,241.2,OUT019,1985,Small,Tier1,Grocery Store,480.7076,14.3
2036,FDK44,16.6,Low Fat,0.122204371,Fruits and Vegetables,173.6,OUT035,2004,Small,Tier1,Supermarket Type1,1911.5118,14.4
2037,FDZ57,10.0,Regular,0.037764307,Snack Foods,127.3,OUT046,1997,Small,Tier1,Supermarket Type1,642.497,14.0
2038,NCN14,19.1,Low Fat,0.092437711,Others,185.3,OUT017,2007,,,Supermarket Type1,1470.0864,14.4
2039,NCB06,17.6,Low Fat,0.137807013,Health and Hygiene,161.8,OUT010,1998,,,Grocery Store,159.792,13.3
2040,DRL01,19.5,Regular,0.077292302,Soft Drinks,235.4,OUT049,1999,Medium,Tier 2,Supermarket Type1,6309.7866,12.2
2041,FDU10,10.1,Regular,0.045763062,Snack Foods,38.5,OUT049,1999,Medium,Tier 2,Supermarket Type1,633.8416,13.8
2042,NCS38,8.6,Low Fat,0.090558833,Household,112.6,OUT018,2009,Medium,Tier 2,Supermarket Type2,3091.9752,14.3
2043,FDQ16,19.7,LF,0.041703666,Frozen Foods,109.2,OUT013,1987,High,Tier 3,Supermarket Type1,1637.868,14.3
2044,FDS40,15.35,Low Fat,0.014098693,Frozen Foods,37.2,OUT017,2007,,,Supermarket Type1,805.618,11.9
2045,FDE36,5.26,Regular,0.042008667,Baking Goods,162.7,OUT017,2007,,,Supermarket Type1,3767.0964,13.6
2046,FDV31,9.8,Low Fat,0.106933748,Fruits and Vegetables,175.3,OUT045,2002,,,Supermarket Type1,529.311,14.5
2047,NCD42,16.5,Low Fat,0.012663476,Health and Hygiene,39.4,OUT045,2002,,,Supermarket Type1,645.1602,14.5
2048,FDT20,10.5,LF,0.041387618,Fruits and Vegetables,40.1,OUT035,2004,Small,Tier1,Supermarket Type1,849.5608,14.7
2049,NCN19,13.1,Low Fat,0.012148836,Others,191.4,OUT018,2009,Medium,Tier 2,Supermarket Type2,1328.271,13.2
2050,FDW21,0.0,Regular,0.005935001,Snack Foods,98.8,OUT027,1985,Medium,Tier 2,Supermarket Type3,2010.716,13.9
2051,FDF34,9.3,Regular,0.014047825,Snack Foods,196.5,OUT045,2002,,,Supermarket Type1,4364.9848,14.4
2052,FDI28,14.3,Low Fat,0.026375082,Frozen Foods,79.6,OUT045,2002,,,Supermarket Type1,792.302,14.1
2053,FDG44,0.0,Low Fat,0.0,Fruits and Vegetables,55.7,OUT027,1985,Medium,Tier 2,Supermarket Type3,2804.3496,14.0
2054,DRF60,10.8,low fat,0.052174319,Soft Drinks,240.4,OUT045,2002,,,Supermarket Type1,4290.4152,13.9
2055,FDQ36,0.0,Regular,0.0,Baking Goods,38.2,OUT019,1985,Small,Tier1,Grocery Store,37.2848,14.4
2056,FDP34,12.85,LF,0.137786856,Snack Foods,157.8,OUT018,2009,Medium,Tier 2,Supermarket Type2,2659.871,14.3
2057,FDA20,6.78,Low Fat,0.066608487,Fruits and Vegetables,184.6,OUT035,2004,Small,Tier1,Supermarket Type1,5406.296,9.6
2058,FDE41,9.195,Regular,0.064002068,Frozen Foods,85.6,OUT035,2004,Small,Tier1,Supermarket Type1,930.1226,13.1
2059,DRK47,7.905,Low Fat,0.06406438,Hard Drinks,229.3,OUT046,1997,Small,Tier1,Supermarket Type1,1826.9552,13.9
2060,FDY10,17.6,Low Fat,0.049345425,Snack Foods,115.4,OUT017,2007,,,Supermarket Type1,1145.176,3.5
2061,FDI02,15.7,Regular,0.11521312,Canned,112.0,OUT017,2007,,,Supermarket Type1,3150.5656,14.1
2062,FDE41,0.0,reg,0.0,Frozen Foods,83.8,OUT019,1985,Small,Tier1,Grocery Store,253.6698,8.1
2063,FDZ52,19.2,Low Fat,0.099991245,Frozen Foods,112.8,OUT013,1987,High,Tier 3,Supermarket Type1,1779.0176,13.2
2064,FDG50,7.405,Low Fat,0.015334003,Canned,92.7,OUT018,2009,Medium,Tier 2,Supermarket Type2,1185.7898,14.2
2065,DRL01,19.5,Regular,0.129170642,Soft Drinks,234.0,OUT010,1998,,,Grocery Store,467.3916,12.4
2066,FDV48,9.195,Regular,0.051908824,Baking Goods,78.2,OUT017,2007,,,Supermarket Type1,1414.1592,13.5
2067,FDR48,11.65,Low Fat,0.131770922,Baking Goods,151.1,OUT045,2002,,,Supermarket Type1,1518.024,14.0
2068,NCD54,21.1,Low Fat,0.028984804,Household,146.2,OUT013,1987,High,Tier 3,Supermarket Type1,3034.0506,14.1
2069,NCT54,8.695,Low Fat,0.120211747,Household,93.2,OUT017,2007,,,Supermarket Type1,666.4658,13.0
2070,FDH02,7.27,Regular,0.02076385,Canned,89.0,OUT013,1987,High,Tier 3,Supermarket Type1,181.0976,10.7
2071,NCD43,8.85,Low Fat,0.016006626,Household,105.7,OUT013,1987,High,Tier 3,Supermarket Type1,210.3928,12.3
2072,FDE46,18.6,Low Fat,0.015766712,Snack Foods,152.9,OUT035,2004,Small,Tier1,Supermarket Type1,1662.5026,13.6
2073,NCO42,0.0,Low Fat,0.024536199,Household,144.6,OUT027,1985,Medium,Tier 2,Supermarket Type3,3791.0652,14.6
2074,FDR40,9.1,Regular,0.008046878,Frozen Foods,78.8,OUT049,1999,Medium,Tier 2,Supermarket Type1,402.809,14.0
2075,FDG24,7.975,Low Fat,0.014653896,Baking Goods,82.4,OUT049,1999,Medium,Tier 2,Supermarket Type1,749.025,13.8
2076,NCO17,10.0,Low Fat,0.073794811,Health and Hygiene,121.4,OUT017,2007,,,Supermarket Type1,2516.724,14.2
2077,FDF22,6.865,Low Fat,0.056830682,Snack Foods,214.0,OUT046,1997,Small,Tier1,Supermarket Type1,5556.7668,12.1
2078,FDC59,16.7,Regular,0.054618573,Starchy Foods,65.5,OUT035,2004,Small,Tier1,Supermarket Type1,1022.6688,12.5
2079,NCY18,7.285,Low Fat,0.052141447,Household,174.9,OUT010,1998,,,Grocery Store,525.3162,11.4
2080,DRE48,8.43,Low Fat,0.017360867,Soft Drinks,196.3,OUT045,2002,,,Supermarket Type1,1576.6144,12.5
2081,FDV60,20.2,Regular,0.196438668,Baking Goods,194.6,OUT010,1998,,,Grocery Store,392.822,14.3
